region,year,wgs84,rd
veiligheidsregio,2017,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2017.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2017.geojson
veiligheidsregio,2018,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2018.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2018.geojson
veiligheidsregio,2019,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2019.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2019.geojson
veiligheidsregio,2020,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2020.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2020.geojson
veiligheidsregio,2021,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2021.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2021.geojson
veiligheidsregio,2022,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2022.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2022.geojson
veiligheidsregio,2023,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2023.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2023.geojson
veiligthuisregio,2020,https://cartomap.github.io/nl/wgs84/veiligthuisregio_2020.geojson,https://cartomap.github.io/nl/rd/veiligthuisregio_2020.geojson
veiligthuisregio,2021,https://cartomap.github.io/nl/wgs84/veiligthuisregio_2021.geojson,https://cartomap.github.io/nl/rd/veiligthuisregio_2021.geojson
veiligthuisregio,2022,https://cartomap.github.io/nl/wgs84/veiligthuisregio_2022.geojson,https://cartomap.github.io/nl/rd/veiligthuisregio_2022.geojson
veiligthuisregio,2023,https://cartomap.github.io/nl/wgs84/veiligthuisregio_2023.geojson,https://cartomap.github.io/nl/rd/veiligthuisregio_2023.geojson
wijk,1995,https://cartomap.github.io/nl/wgs84/wijk_1995.geojson,https://cartomap.github.io/nl/rd/wijk_1995.geojson
wijk,1996,https://cartomap.github.io/nl/wgs84/wijk_1996.geojson,https://cartomap.github.io/nl/rd/wijk_1996.geojson
wijk,1997,https://cartomap.github.io/nl/wgs84/wijk_1997.geojson,https://cartomap.github.io/nl/rd/wijk_1997.geojson
wijk,1998,https://cartomap.github.io/nl/wgs84/wijk_1998.geojson,https://cartomap.github.io/nl/rd/wijk_1998.geojson
wijk,1999,https://cartomap.github.io/nl/wgs84/wijk_1999.geojson,https://cartomap.github.io/nl/rd/wijk_1999.geojson
